-10008240064,5407
-1000938283023,2957
-100133492709,1249
-1002305703666,3355
-1002347324395,9878
-1004781304799,14132
-1005166767331,9960
-1005627776432,4949
-1008693503020,15949
-1009806235817,15588
-1011546776568,3053
-1012236437776,1669
-101478588426,8233
-1014848060886,2845
-101612761062,15671
-1017422461247,1251
-101863445254,6127
-1023874882376,2435
-102613932353,5220
-1027067779013,7060
-1027451090615,882
-1028084547229,9536
-1030948912786,12561
-1031069248717,6954
-1032076119859,10970
-1033452782465,284
-1033463269823,4182
-1033872428128,1067
-1034786680671,5015
-1035989297109,1637
-103607357805,9322
-103639071554,7733
-103688571777,1412
-1037971783817,9677
-1038507070454,8207
-1043586612596,14117
-104453733716,14665
-1044656000527,10031
-1045340821783,74
-104564958831,2650
-104882398715,1641
-1050381340362,3289
-105147916539,8080
-1054164229828,11523
-1055031577619,6818
-1059370931157,13126
-1060515702371,11420
-106159727511,15704
-1062765417103,2012
-1063310904601,60
-1063777186702,3181
-1063842335795,3246
-106470220387,931
-1064845682120,7629
-1065449321373,5549
-1065670575851,2316
-106598473122,3565
-1068219876919,196
-1071683477057,2657
-1071843037571,6034
-1073764688771,8862
-1075626332949,5647
-1076271870041,9962
-1076324729959,1501
-10769381870,12713
-1077340813333,2970
-1079007022932,4349
-1079812076303,7894
-1080091330949,10916
-1080387398635,2828
-1080541645441,13922
-1081346960802,7915
-108157744114,12981
-1085624722642,15729
-1086854979183,5935
-108755301490,3937
-1089230249006,681
-1090686469658,3751
-109093167576,7039
-1091557547124,461
-1093424301612,13655
-1095056681441,7856
-10955383973,3336
-1097424611812,8759
-1099429108881,5026
-1100603939041,7275
-1100748657853,4783
-110081539787,2843
-1102532863673,7620
-110315048385,13424
-1104890303232,649
-1105694648329,4101
-110686075660,2027
-1108643241571,11743
-1110772760270,15251
-1114493287372,10797
-1116088932003,1735
-1116180096305,8888
-111714100103,10600
-1118300668310,2731
-1118803024366,3787
-112037941668,2321
-1120615419791,2418
-112490194339,12200
-1125351893116,3849
-112577355003,11170
-1127888320199,13169
-1128373764533,347
-1130427955971,7984
-1131354294943,5326
-1132770327587,1890
-1134774762722,7767
-1136440068830,279
-1136873158372,10711
-1137665763109,3529
-1139018594308,3481
-1139874793067,9529
-114130603936,3571
-114302564793,6794
-1143042216844,5023
-1144836492545,5608
-1145137000789,716
-1145208493303,6712
-1145427760273,2854
-1145976521833,8962
-114683620836,13741
-1147029369439,2689
-114791002710,5723
-114807634579,4298
-1148823280163,4939
-1151546098342,5485
-1152951959042,605
-1155049506059,10598
-1155060402467,3353
-1155203748180,4999
-1156433895079,2072
-1156441721907,9806
-115961270656,8427
-1160332289151,13094
-1160898761305,7273
-1163671987363,11044
-1163748867741,542
-1165314820587,14449
-1166278402519,11194
-1166996132411,1752
-116722535434,6427
-1167533916217,81
-1168098313319,5928
-117018042791,607
-1170488393961,3449
-117148259271,560
-1171494342851,5163
-1173328276877,12992
-1173474068393,354
-1173702685974,6245
-1174218218868,7273
-117437739204,1955
-1176365770001,8934
-117753378750,2273
-1178189662418,8565
-1178778806390,1669
-1184803591659,8053
-1185209556869,16300
-1186447149753,1940
-1197980752097,94
-119930873830,373
-1200714952891,4864
-1201541210485,14549
-1202681633329,7663
-1208672084159,4512
-120898260602,1759
-1209520065394,6321
-1210829037467,15063
-1211908174640,3721
-1212256699371,2450
-1213008515108,10899
-121491083831,423
-1219255276406,8895
-1220588642912,4857
-1220664988585,7916
-122129489555,5449
-1222667378483,5266
-122412660225,962
-122426819188,435
-1226591413440,1697
-1227613650318,10501
-1227974422155,3062
-1234550220984,10925
-1235332955157,7858
-1238830436299,3138
-1239303924119,626
-1240649087084,5289
-124130819784,15499
-1245098399368,6207
-1246044571091,2811
-124727581469,15600
-1249504240608,5575
-1251878723043,5407
-1253561800748,8673
-1255320351589,2644
-1255911589139,4902
-1255969545033,9343
-1262445355951,8995
-1264049859315,7784
-126469427972,1549
-1266574792628,2361
-126800724685,432
-1268512170822,9185
-1268708007183,3245
-1270002562310,12243
-127166872765,2503
-1272046419641,6915
-1273067328806,13843
-1273444466236,8469
-127450566991,14600
-1275730925837,1103
-1277165955922,5213
-1279592793941,738
-1282557381982,6595
-1283674809655,488
-1285506458580,3233
-1286489472364,3169
-1289167072788,8857
-1290819572189,4391
-1293363652245,2729
-12938071177,9174
-129526040125,1263
-1297303722689,6361
-1302977574919,15750
-1309394617866,9779
-1309439241463,12422
-130998188846,4719
-1310018320081,11693
-1313008248424,15051
-1314483135788,7515
-1315505609066,773
-1316365446590,3039
-1316724108748,5413
-1316813009083,10146
-131750914474,5385
-1317878076831,9086
-1319640078459,8987
-1320641929028,1133
-1320986587953,11438
-132377794981,8200
-1324761326919,4687
-1327900587323,13395
-1328177721400,3169
-13285404633,13598
-1332561950503,90
-1333356741726,8693
-133350931478,10333
-1333543850657,10860
-1334298571421,647
-1334514429574,6707
-1335178424422,2121
-1335570211019,2234
-1337124474633,16126
-133769904897,10096
-1338512716605,12044
-1340012205053,12737
-1340935831113,12425
-1341307613035,12912
-1342552872545,3792
-1344521230127,5561
-134493734752,15365
-134518030130,7737
-1348634740962,1861
-1350564391608,13229
-13509848085,1046
-1351898729851,11160
-135301186451,1096
-1353031216066,5835
-135736199080,5277
-1357669996412,1295
-1357750183813,6102
-135982351252,1905
-1359994928712,12731
-1360056255385,444
-136047038841,1585
-1360478121751,6907
-1365914058641,6218
-136664197821,13097
-136706740293,1579
-137140267002,7283
-1371812439495,2974
-137196175895,924
-1372587565685,258
-137443332623,1063
-137495238785,13629
-1375377296098,15829
-1376361467995,3448
-1377598523735,358
-138779569817,722
-138898951468,7375
-138913230134,433
-1391119415729,8162
-139170774052,12971
-1393147827867,5654
-1393236309067,12440
-1393622755141,7170
-1398304645625,6626
-1402385116047,1967
-140294488671,10174
-140368620234,4037
-140413679887,191
-1405114421714,2805
-140620378528,695
-1408617816599,7297
-1410146418383,6254
-1412848505844,5969
-1413020055211,1695
-1413797588771,7226
-1414149689191,1682
-1414240220197,9248
-1422449439508,7531
-1423782613659,800
-1424920913447,2257
-1425746202127,800
-1427224901843,643
-142933706118,859
-1429807940137,60
-143306922877,13
-1435470467328,4729
-1440419354739,4159
-1441291615147,14218
-1441759171547,731
-1444457180657,7646
-144646275480,15499
-144703465877,1082
-1453806942402,10855
-1458194791089,13393
-1463799317165,497
-1464301071227,3794
-1472563766149,559
-1472804831603,4269
-1473851139585,4289
-1473970529957,1468
-1475123579552,5373
-1476542354173,1549
-1479009405132,6233
-1479054622130,11627
-1483794141501,5821
-1483882175015,3352
-1483895274145,4597
-1484937529773,8393
-1487165015656,7561
-1490364525753,6293
-1498393124971,1188
-149890879883,660
-1500038906579,321
-150419389632,533
-1505312696413,5471
-1508169429379,15955
-1509876942841,4732
-1509907611202,2319
-151169567575,1466
-1513898056009,1026
-151398623805,574
-1514135146505,6464
-1519533322713,6674
-151971947066,3071
-1519743565717,16038
-1523514755813,1446
-1524278338293,496
-1524504235883,2928
-152534116943,618
-152596346716,2115
-152621416853,11252
-1526884032260,5957
-1528932493983,2305
-1530403947584,1527
-1531231347095,2266
-1532402894482,6561
-153403931273,1761
-1534921788451,5068
-1534948119527,210
-1535782979251,8742
-15409182984,617
-1546018043477,9542
-154618647514,12973
-1549149417481,3273
-15517828373,13708
-1552048145681,4618
-155453282045,15646
-155549541083,1643
-15561321777,766
